"year","ln_alpha","region","pfma"
1980,1.07274629588857,"Haida Gwaii","Area 2E"
1981,1.15004982657086,"Haida Gwaii","Area 2E"
1982,1.13419128633539,"Haida Gwaii","Area 2E"
1983,1.07548963890031,"Haida Gwaii","Area 2E"
1984,0.99414225560887,"Haida Gwaii","Area 2E"
1985,0.991730761085387,"Haida Gwaii","Area 2E"
1986,0.824145401611245,"Haida Gwaii","Area 2E"
1987,0.793070662535185,"Haida Gwaii","Area 2E"
1988,0.951771642789767,"Haida Gwaii","Area 2E"
1989,1.19465507871207,"Haida Gwaii","Area 2E"
1990,1.24287505151251,"Haida Gwaii","Area 2E"
1991,1.24852902386404,"Haida Gwaii","Area 2E"
1992,1.00948599498877,"Haida Gwaii","Area 2E"
1993,0.965283767990098,"Haida Gwaii","Area 2E"
1994,1.03436817977017,"Haida Gwaii","Area 2E"
1995,1.32710972367288,"Haida Gwaii","Area 2E"
1996,1.26692450136089,"Haida Gwaii","Area 2E"
1997,1.40440514336209,"Haida Gwaii","Area 2E"
1998,1.54103167529024,"Haida Gwaii","Area 2E"
1999,1.60453833708586,"Haida Gwaii","Area 2E"
2000,1.62060604995042,"Haida Gwaii","Area 2E"
2001,1.74313328349823,"Haida Gwaii","Area 2E"
2002,1.68379153423849,"Haida Gwaii","Area 2E"
2003,1.43066656165149,"Haida Gwaii","Area 2E"
2004,1.31366590935023,"Haida Gwaii","Area 2E"
2005,1.32789438324509,"Haida Gwaii","Area 2E"
2006,1.55863858049998,"Haida Gwaii","Area 2E"
2007,1.44201358167443,"Haida Gwaii","Area 2E"
2008,1.34617745615041,"Haida Gwaii","Area 2E"
2009,1.27761488998484,"Haida Gwaii","Area 2E"
2010,1.34871918244888,"Haida Gwaii","Area 2E"
2011,1.30377381072581,"Haida Gwaii","Area 2E"
2012,1.17277272374469,"Haida Gwaii","Area 2E"
2013,0.880840018907665,"Haida Gwaii","Area 2E"
2014,0.807824403632786,"Haida Gwaii","Area 2E"
2015,0.506661796551465,"Haida Gwaii","Area 2E"
2016,0.308944834166309,"Haida Gwaii","Area 2E"
2017,0.346835149126693,"Haida Gwaii","Area 2E"
2018,0.513924390694761,"Haida Gwaii","Area 2E"
2019,0.476807163110916,"Haida Gwaii","Area 2E"
2020,0.491169323603342,"Haida Gwaii","Area 2E"
1980,1.71009585091683,"Nass","Area 3"
1981,1.86929955853168,"Nass","Area 3"
1982,2.27038594226431,"Nass","Area 3"
1983,2.15472269295266,"Nass","Area 3"
1984,1.58517281706309,"Nass","Area 3"
1985,1.42370896514223,"Nass","Area 3"
1986,1.87243719734708,"Nass","Area 3"
1987,1.95054578867055,"Nass","Area 3"
1988,1.96818078823252,"Nass","Area 3"
1989,2.19438515974116,"Nass","Area 3"
1990,2.53087230856768,"Nass","Area 3"
1991,3.0715966931249,"Nass","Area 3"
1992,1.96097499012458,"Nass","Area 3"
1993,1.73174164144272,"Nass","Area 3"
1994,1.29936285302297,"Nass","Area 3"
1995,1.60298759355293,"Nass","Area 3"
1996,1.69290545684137,"Nass","Area 3"
1997,2.31799978137215,"Nass","Area 3"
1998,2.13462639397665,"Nass","Area 3"
1999,2.06150447004938,"Nass","Area 3"
2000,1.99103672537287,"Nass","Area 3"
2001,2.10636598579416,"Nass","Area 3"
2002,2.13231201838546,"Nass","Area 3"
2003,1.75856226479229,"Nass","Area 3"
2004,1.72068249883774,"Nass","Area 3"
2005,1.95735815406164,"Nass","Area 3"
2006,2.23715909164174,"Nass","Area 3"
2007,1.75907104935015,"Nass","Area 3"
2008,1.85439358900867,"Nass","Area 3"
2009,2.35459503287054,"Nass","Area 3"
2010,2.51203110386304,"Nass","Area 3"
2011,2.60359004078803,"Nass","Area 3"
2012,2.44025571246209,"Nass","Area 3"
2013,2.53299745299129,"Nass","Area 3"
2014,2.39128326443367,"Nass","Area 3"
2015,1.77902089145278,"Nass","Area 3"
2016,1.74734984695875,"Nass","Area 3"
2017,2.04376506536566,"Nass","Area 3"
2018,2.4590102030241,"Nass","Area 3"
2019,2.58888052424947,"Nass","Area 3"
2020,2.66547912264567,"Nass","Area 3"
1980,1.39975299809612,"Skeena","Area 4"
1981,1.55397822540017,"Skeena","Area 4"
1982,1.67275729821646,"Skeena","Area 4"
1983,1.60483697328157,"Skeena","Area 4"
1984,1.31668588568676,"Skeena","Area 4"
1985,0.996958780936108,"Skeena","Area 4"
1986,1.71635292563605,"Skeena","Area 4"
1987,2.00973910917231,"Skeena","Area 4"
1988,2.03793685709343,"Skeena","Area 4"
1989,1.86720056723289,"Skeena","Area 4"
1990,1.66327974589419,"Skeena","Area 4"
1991,1.75183982837231,"Skeena","Area 4"
1992,0.942098127402062,"Skeena","Area 4"
1993,1.07360666140913,"Skeena","Area 4"
1994,0.77705023102752,"Skeena","Area 4"
1995,1.34043201048562,"Skeena","Area 4"
1996,1.36126479418457,"Skeena","Area 4"
1997,1.89547216181588,"Skeena","Area 4"
1998,1.31786218566989,"Skeena","Area 4"
1999,1.17320045874599,"Skeena","Area 4"
2000,1.25299348897631,"Skeena","Area 4"
2001,1.35833843358098,"Skeena","Area 4"
2002,1.34236413270419,"Skeena","Area 4"
2003,1.13792265608723,"Skeena","Area 4"
2004,1.10879588553119,"Skeena","Area 4"
2005,1.34729874053548,"Skeena","Area 4"
2006,1.80926857614647,"Skeena","Area 4"
2007,1.6119636543006,"Skeena","Area 4"
2008,1.48202801086967,"Skeena","Area 4"
2009,1.4028054628362,"Skeena","Area 4"
2010,1.58704581347901,"Skeena","Area 4"
2011,1.5720535384326,"Skeena","Area 4"
2012,1.32107058393056,"Skeena","Area 4"
2013,1.18255821550504,"Skeena","Area 4"
2014,1.10217073004367,"Skeena","Area 4"
2015,0.272045363930588,"Skeena","Area 4"
2016,0.496914461690124,"Skeena","Area 4"
2017,0.759261135909551,"Skeena","Area 4"
2018,1.54423180665977,"Skeena","Area 4"
2019,1.82519723551087,"Skeena","Area 4"
2020,1.93788648269494,"Skeena","Area 4"
1980,1.40807602269344,"Hecate Lowlands","Area 5-6"
1981,1.50675984021061,"Hecate Lowlands","Area 5-6"
1982,1.46101241986773,"Hecate Lowlands","Area 5-6"
1983,1.3350354565193,"Hecate Lowlands","Area 5-6"
1984,0.906394945143337,"Hecate Lowlands","Area 5-6"
1985,1.05483612319412,"Hecate Lowlands","Area 5-6"
1986,1.4256867955836,"Hecate Lowlands","Area 5-6"
1987,1.27319262512524,"Hecate Lowlands","Area 5-6"
1988,1.30211024434782,"Hecate Lowlands","Area 5-6"
1989,1.54087182586371,"Hecate Lowlands","Area 5-6"
1990,1.42601729082848,"Hecate Lowlands","Area 5-6"
1991,1.62904265151043,"Hecate Lowlands","Area 5-6"
1992,0.956144991766893,"Hecate Lowlands","Area 5-6"
1993,1.01449786117632,"Hecate Lowlands","Area 5-6"
1994,1.07924818499385,"Hecate Lowlands","Area 5-6"
1995,1.55986767164603,"Hecate Lowlands","Area 5-6"
1996,0.967524122956185,"Hecate Lowlands","Area 5-6"
1997,1.65283722765056,"Hecate Lowlands","Area 5-6"
1998,2.08612204580262,"Hecate Lowlands","Area 5-6"
1999,2.18671435233405,"Hecate Lowlands","Area 5-6"
2000,1.73439181509122,"Hecate Lowlands","Area 5-6"
2001,1.60810889391341,"Hecate Lowlands","Area 5-6"
2002,1.33458925882815,"Hecate Lowlands","Area 5-6"
2003,0.55068318411762,"Hecate Lowlands","Area 5-6"
2004,0.360102072738704,"Hecate Lowlands","Area 5-6"
2005,0.823508136706678,"Hecate Lowlands","Area 5-6"
2006,1.58341027262705,"Hecate Lowlands","Area 5-6"
2007,1.71469401486911,"Hecate Lowlands","Area 5-6"
2008,1.57488515165702,"Hecate Lowlands","Area 5-6"
2009,1.14430006559602,"Hecate Lowlands","Area 5-6"
2010,0.936670001157505,"Hecate Lowlands","Area 5-6"
2011,0.565992977346016,"Hecate Lowlands","Area 5-6"
2012,0.5912148109347,"Hecate Lowlands","Area 5-6"
2013,0.45442388338472,"Hecate Lowlands","Area 5-6"
2014,0.750882245666127,"Hecate Lowlands","Area 5-6"
2015,-0.0309490016933845,"Hecate Lowlands","Area 5-6"
2016,0.131178729555086,"Hecate Lowlands","Area 5-6"
2017,-0.0750134893035784,"Hecate Lowlands","Area 5-6"
2018,0.560621159450936,"Hecate Lowlands","Area 5-6"
2019,0.521355114506885,"Hecate Lowlands","Area 5-6"
2020,0.586348360610747,"Hecate Lowlands","Area 5-6"
1980,1.43594832061094,"Inner Waters","Area 6 - Inner"
1981,1.50113224289735,"Inner Waters","Area 6 - Inner"
1982,1.43278676093937,"Inner Waters","Area 6 - Inner"
1983,1.42174788315458,"Inner Waters","Area 6 - Inner"
1984,0.865915790289444,"Inner Waters","Area 6 - Inner"
1985,0.994028473668237,"Inner Waters","Area 6 - Inner"
1986,1.39577178267019,"Inner Waters","Area 6 - Inner"
1987,1.26779271062189,"Inner Waters","Area 6 - Inner"
1988,0.869747806534858,"Inner Waters","Area 6 - Inner"
1989,1.12861738182482,"Inner Waters","Area 6 - Inner"
1990,1.02433550508935,"Inner Waters","Area 6 - Inner"
1991,1.23594767269382,"Inner Waters","Area 6 - Inner"
1992,0.0527803554086682,"Inner Waters","Area 6 - Inner"
1993,0.0774310480456624,"Inner Waters","Area 6 - Inner"
1994,0.183843658271011,"Inner Waters","Area 6 - Inner"
1995,0.642251396363696,"Inner Waters","Area 6 - Inner"
1996,1.19163359193103,"Inner Waters","Area 6 - Inner"
1997,2.40899408014118,"Inner Waters","Area 6 - Inner"
1998,2.08957363419552,"Inner Waters","Area 6 - Inner"
