SEASON,Logistical_Area,Year,MONTH,AREA,METHOD,ITEM_GROUP,Item,ADIPOSE_MODIFIER,Disposition,RETAINABLE,ESTIMATE,VARIANCE,UNITS,BCF,BCF_SD,ESTIMATE_CAL,VARIANCE_CAL,UNITS_CAL,SE_CAL,CALIBRATED,PROP_GUIDED,PROP_LODGE,PROP_RESIDENT
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),1.908602151,1.734160018,Pieces,0.91017,0.031935847,2.09697,2.09877,Pieces,1.44871,Yes,1,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Chinook,Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Chinook,Not Applicable,Released,Sublegal Size,0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Chinook,Not Checked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Chinook,Not Checked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Coho,Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Coho,Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Coho,Not Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Coho,Not Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Coho,Not Checked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,SALMON,Coho,Not Checked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,EFFORT,Adult effort,Not Applicable,N/A,N/A,4.191810171,4.663990861,Fisher days,1.74168,0.056963707,2.40676,1.54372,Boat trips,1.24246,Yes,0.45532,0,0.54468
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,HALIBUT,Halibut,Not Applicable,Kept,Legal Size,0,0,Pieces,1.05829,0.092467499,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,HALIBUT,Halibut,Not Applicable,Released,Unspecified,0,0,Pieces,1.33711,0.235809154,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,LINGCOD,Lingcod,Not Applicable,Kept,Legal Size,0,0,Pieces,1.18745,0.105912586,0,0,Pieces,0,Yes,0,0,0
